Time elapsed was ,236663119,ns or ,0.236663119,s
Time elapsed was ,235903601,ns or ,0.235903601,s
Time elapsed was ,235863296,ns or ,0.235863296,s
Time elapsed was ,238378063,ns or ,0.238378063,s
Time elapsed was ,238378064,ns or ,0.237743908,s
Time elapsed was ,238378065,ns or ,0.237710665,s
Time elapsed was ,238378066,ns or ,0.237310454,s
Time elapsed was ,238378067,ns or ,0.234255666,s
Time elapsed was ,238378068,ns or ,0.237159831,s
Time elapsed was ,238378069,ns or ,0.235251205,s
Total,2377076478,ns or ,2.366239808,s
mean,237707647.8,ns or ,0.2366239808,s
average mean Time,118853823.9,ns or ,118853823.9,s
